iter	Passed	Remaining
0	146	146057
1	146	73278
2	147	48985
3	147	36829
4	148	29540
5	148	24676
6	149	21204
7	150	18600
8	150	16576
9	150	14947
10	151	13624
11	152	12520
12	152	11584
13	153	10783
14	153	10086
15	154	9477
16	154	8940
17	155	8463
18	155	8036
19	156	7650
20	156	7301
21	157	6984
22	157	6695
23	158	6429
24	158	6185
25	159	5959
26	159	5750
27	160	5556
28	160	5376
29	161	5208
30	161	5051
31	162	4904
32	162	4764
33	163	4636
34	163	4515
35	164	4401
36	165	4295
37	165	4195
38	166	4099
39	166	4006
40	167	3919
41	168	3837
42	168	3758
43	169	3682
44	170	3610
45	170	3541
46	171	3476
47	172	3413
48	172	3353
49	173	3296
50	174	3241
51	174	3187
52	175	3136
53	176	3086
54	176	3039
55	177	2993
56	178	2950
57	179	2909
58	179	2870
59	180	2832
60	181	2794
61	182	2759
62	183	2724
63	184	2691
64	184	2660
65	185	2627
66	186	2596
67	187	2565
68	187	2536
69	188	2506
70	189	2478
71	190	2450
72	190	2423
73	191	2397
74	192	2372
75	193	2350
76	194	2327
77	194	2304
78	195	2281
79	196	2259
80	197	2237
81	197	2216
82	198	2196
83	199	2176
84	200	2156
85	201	2137
86	201	2118
87	202	2099
88	203	2081
89	204	2063
90	204	2046
91	205	2029
92	206	2012
93	207	1996
94	208	1981
95	208	1966
96	209	1950
97	210	1934
98	210	1918
99	211	1903
100	212	1889
101	212	1874
102	213	1860
103	214	1846
104	215	1833
105	215	1819
106	216	1806
107	217	1793
108	217	1781
109	218	1769
110	219	1756
111	220	1744
112	220	1733
113	221	1722
114	222	1711
115	223	1700
116	223	1689
117	224	1679
118	225	1668
119	226	1658
120	226	1648
121	227	1637
122	228	1627
123	228	1617
124	229	1608
125	230	1598
126	231	1588
127	231	1579
128	232	1570
129	233	1561
130	233	1552
131	234	1543
132	235	1535
133	236	1527
134	237	1519
135	237	1511
136	238	1503
137	239	1495
138	240	1487
139	240	1479
140	241	1471
141	242	1463
142	243	1456
143	243	1449
144	244	1441
145	245	1433
146	245	1426
147	246	1419
148	247	1411
149	247	1404
150	248	1399
151	249	1392
152	250	1386
153	250	1378
154	251	1372
155	252	1365
156	253	1359
157	253	1353
158	254	1346
159	255	1340
160	256	1335
161	256	1329
162	257	1323
163	258	1317
164	259	1312
165	260	1306
166	260	1300
167	261	1294
168	262	1289
